DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,23,$27984.39,$7567.39,$6636.43
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330011,"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,NY - Binghamton,16,$17173.12,$5777.00,$4649.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,72,$19226.16,$7478.16,$6554.31
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330023,VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,NY - Albany,39,$25330.12,$7125.12,$6116.61
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,NY - Manhattan,29,$22169.41,$11165.17,$9504.37
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330028,RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,NY - Manhattan,12,$32246.66,$10165.00,$9321.33
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,NY - Elmira,40,$19167.42,$5740.32,$4673.70
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330057,ST PETER'S HOSPITAL,315 SOUTH MANNING BOULEVARD,ALBANY,NY,12208,NY - Albany,37,$14540.83,$5467.37,$4434.64
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330059,MONTEFIORE MEDICAL CENTER,111 EAST 210TH STREET,BRONX,NY,10467,NY - Bronx,13,$37429.92,$13079.38,$10280.76
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330067,ST FRANCIS HOSPITAL,241 NORTH ROAD,POUGHKEEPSIE,NY,12601,NY - Albany,18,$24503.50,$8207.94,$6799.44
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330078,SISTERS OF CHARITY HOSPITAL,2157 MAIN STREET,BUFFALO,NY,14214,NY - Buffalo,15,$11361.86,$7261.80,$4929.13
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330090,ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,NY - Elmira,35,$14121.48,$6449.51,$4957.62
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330101,NEW YORK-PRESBYTERIAN HOSPITAL,525 EAST 68TH STREET,NEW YORK,NY,10021,NY - Manhattan,49,$32142.36,$11869.00,$9417.73
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NY - East Long Island,39,$30313.02,$11105.02,$6943.48
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330119,LENOX HILL HOSPITAL,100 EAST 77TH STREET,NEW YORK,NY,10021,NY - Manhattan,17,$29515.52,$8963.64,$7907.64
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330125,ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVENUE,ROCHESTER,NY,14621,NY - Rochester,27,$7468.00,$7546.29,$4373.07
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330126,ORANGE REGIONAL MEDICAL CENTER,707 EAST MAIN STREET,MIDDLETOWN,NY,10940,NY - White Plains,18,$21845.72,$7167.44,$6292.33
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330136,MARY IMOGENE BASSETT HOSPITAL,ONE ATWELL ROAD,COOPERSTOWN,NY,13326,NY - Albany,23,$16593.95,$9293.78,$7284.86
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,301 PROSPECT AVENUE,SYRACUSE,NY,13203,NY - Syracuse,137,$13836.72,$6673.68,$5471.58
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330153,ELLIS HOSPITAL,1101 NOTT STREET,SCHENECTADY,NY,12308,NY - Albany,20,$13866.10,$5918.30,$4854.10
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,255 LAFAYETTE AVENUE,SUFFERN,NY,10901,NJ - Ridgewood,21,$37392.85,$8052.04,$6670.57
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330160,STATEN ISLAND UNIVERSITY HOSPITAL,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,NY - Manhattan,18,$21700.11,$9393.33,$8458.88
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330167,WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NY - East Long Island,43,$28110.20,$9347.93,$6711.51
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330169,BETH ISRAEL MEDICAL CENTER,FIRST AVENUE AT 16TH STREET,NEW YORK,NY,10003,NY - Manhattan,17,$31149.82,$11056.88,$10065.58
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NY - East Long Island,83,$25982.95,$7430.87,$5496.63
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,33,$18674.96,$6925.93,$5528.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330188,MOUNT ST MARY'S HOSPITAL AND  HEALTH CENTER,5300 MILITARY ROAD,LEWISTON,NY,14092,NY - Buffalo,13,$19445.30,$7921.00,$4183.38
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330191,GLENS FALLS HOSPITAL,100 PARK STREET,GLENS FALLS,NY,12801,NY - Albany,15,$9887.86,$5526.60,$4707.13
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330194,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,NY - Manhattan,11,$28410.00,$11972.27,$10957.72
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NY - East Long Island,11,$58074.18,$13895.09,$13280.54
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NY - East Long Island,18,$20792.16,$7556.05,$5775.77
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,NY - Syracuse,27,$13116.14,$7271.14,$6275.59
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330214,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NY,10016,NY - Manhattan,33,$37047.06,$9422.84,$8141.36
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330222,SARATOGA HOSPITAL,211 CHURCH STREET,SARATOGA SPRING,NY,12866,NY - Albany,17,$16751.11,$5372.58,$4257.52
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330224,BENEDICTINE HOSPITAL,105 MARY'S AVENUE,KINGSTON,NY,12401,NY - Albany,22,$18943.95,$6638.77,$5664.04
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330234,WESTCHESTER MEDICAL CENTER,100 WOODS RD,VALHALLA,NY,10595,NY - White Plains,23,$53046.60,$11289.21,$9853.30
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330236,NEW YORK METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,NY - Manhattan,16,$22077.12,$10657.43,$9091.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330241,UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,750 EAST ADAMS STREET,SYRACUSE,NY,13210,NY - Syracuse,18,$27395.66,$8910.83,$7847.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330245,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,NY - Elmira,42,$11658.47,$6260.61,$4766.40
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,75 BEEKMAN STREET,PLATTSBURGH,NY,12901,VT - Burlington,26,$15270.50,$8410.96,$7487.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330264,ST LUKE'S CORNWALL HOSPITAL,70 DUBOIS STREET,NEWBURGH,NY,12550,NY - White Plains,17,$19814.58,$7292.70,$6432.70
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330285,STRONG MEMORIAL HOSPITAL,601 ELMWOOD AVE,ROCHESTER,NY,14642,NY - Rochester,16,$14264.37,$9044.75,$6423.81
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,NY - East Long Island,39,$22250.25,$7949.64,$5889.56
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330304,WHITE PLAINS HOSPITAL CENTER,41 EAST POST R0AD,WHITE PLAINS,NY,10601,NY - White Plains,20,$16213.85,$6927.65,$5978.25
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",33-57 HARRISON STREET,JOHNSON CITY,NY,13790,NY - Binghamton,44,$13858.29,$6572.50,$5366.09
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,14,$37826.57,$6873.42,$5914.57
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330004,KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,NY - Albany,50,$26906.38,$7053.44,$5912.58
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330005,KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,NY - Buffalo,55,$14561.61,$7352.65,$6334.41
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330006,ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,NY - White Plains,14,$8284.21,$8460.92,$7432.28
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330009,BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,NY - Bronx,12,$22540.50,$15419.83,$14104.50
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,330013,ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,NY - Albany,33,$33662.39,$9150.90,$7110.48
